,location,size,total_sqft,bath,price
177,7th Phase JP Nagar,3,1680.0,3.0,112.0
179,7th Phase JP Nagar,3,2095.0,3.0,150.0
180,7th Phase JP Nagar,3,1976.0,3.0,145.0
181,7th Phase JP Nagar,3,1600.0,2.0,110.0
182,7th Phase JP Nagar,3,1765.0,3.0,118.0
183,7th Phase JP Nagar,3,1275.0,2.0,88.0
184,7th Phase JP Nagar,3,1450.0,2.0,102.0
185,7th Phase JP Nagar,3,1575.0,2.0,110.0
187,7th Phase JP Nagar,1,750.0,1.0,47.0
188,7th Phase JP Nagar,2,990.0,2.0,50.0
189,7th Phase JP Nagar,1,1000.0,1.0,60.0
191,7th Phase JP Nagar,3,1430.0,2.0,102.0
192,7th Phase JP Nagar,2,1128.0,2.0,60.0
193,7th Phase JP Nagar,2,1140.0,2.0,57.0
194,7th Phase JP Nagar,3,1420.0,3.0,90.0
195,7th Phase JP Nagar,2,1530.0,2.0,108.0
196,8th Phase JP Nagar,2,1073.5,2.0,54.005
197,8th Phase JP Nagar,1,451.0,1.0,29.9
199,8th Phase JP Nagar,2,1062.0,2.0,42.47
201,8th Phase JP Nagar,3,1455.0,3.0,73.31
202,8th Phase JP Nagar,2,871.0,2.0,55.0
203,8th Phase JP Nagar,2,1098.0,2.0,43.91
204,8th Phase JP Nagar,3,1800.0,3.0,80.0
206,8th Phase JP Nagar,2,1080.0,2.0,38.0
207,8th Phase JP Nagar,2,1059.0,2.0,34.5
208,8th Phase JP Nagar,2,1080.0,2.0,35.0
210,8th Phase JP Nagar,2,1062.0,2.0,42.47
211,8th Phase JP Nagar,1,500.0,1.0,31.0
212,8th Phase JP Nagar,2,1100.0,2.0,35.0
214,8th Phase JP Nagar,2,1035.0,2.0,39.33
215,8th Phase JP Nagar,2,909.0,2.0,40.9
216,8th Phase JP Nagar,3,1431.5,3.0,72.02
217,8th Phase JP Nagar,3,1900.0,4.0,90.0
218,8th Phase JP Nagar,1,500.0,1.0,30.0
219,8th Phase JP Nagar,2,1125.0,2.0,36.94
220,8th Phase JP Nagar,2,1100.0,2.0,35.0
221,8th Phase JP Nagar,2,1089.0,2.0,43.55
223,8th Phase JP Nagar,3,1504.0,2.0,83.0
226,8th Phase JP Nagar,2,1089.0,2.0,43.55
228,8th Phase JP Nagar,2,1513.0,2.0,62.0
229,8th Phase JP Nagar,2,1298.0,2.0,59.0
230,8th Phase JP Nagar,2,1006.0,2.0,44.0
231,8th Phase JP Nagar,1,500.0,1.0,33.0
232,8th Phase JP Nagar,2,1160.0,2.0,95.0
233,8th Phase JP Nagar,2,1245.0,2.0,59.0
234,8th Phase JP Nagar,2,1510.0,2.0,80.0
235,8th Phase JP Nagar,3,3300.0,3.0,165.0
236,8th Phase JP Nagar,5,1730.0,5.0,75.0
239,8th Phase JP Nagar,2,1046.0,2.0,48.0
241,8th Phase JP Nagar,3,1408.0,3.0,80.0
243,9th Phase JP Nagar,2,1005.0,2.0,50.0
245,9th Phase JP Nagar,2,1100.0,2.0,65.0
246,9th Phase JP Nagar,2,1080.0,2.0,37.0
247,9th Phase JP Nagar,2,1035.0,2.0,45.0
248,9th Phase JP Nagar,4,5000.0,4.0,290.0
249,9th Phase JP Nagar,2,1164.0,2.0,56.0
250,9th Phase JP Nagar,2,1005.0,2.0,42.0
251,9th Phase JP Nagar,2,1127.0,2.0,50.0
252,9th Phase JP Nagar,2,1005.0,2.0,43.0
253,9th Phase JP Nagar,2,835.0,2.0,37.0
254,9th Phase JP Nagar,2,1050.0,2.0,39.0
255,9th Phase JP Nagar,2,660.0,2.0,27.0
256,9th Phase JP Nagar,1,600.0,1.0,20.0
257,9th Phase JP Nagar,2,1466.0,2.0,71.0
258,9th Phase JP Nagar,3,1890.0,2.0,93.0
259,9th Phase JP Nagar,2,1079.0,2.0,60.0
260,9th Phase JP Nagar,2,1480.0,2.0,80.0
261,9th Phase JP Nagar,2,1200.0,2.0,80.0
262,9th Phase JP Nagar,2,905.0,2.0,32.0
263,9th Phase JP Nagar,2,1073.0,2.0,52.36
264,9th Phase JP Nagar,3,1719.3,2.0,88.0
265,9th Phase JP Nagar,3,1780.0,3.0,88.0
267,9th Phase JP Nagar,3,1522.0,3.0,90.0
270,9th Phase JP Nagar,2,890.0,2.0,45.0
272,9th Phase JP Nagar,4,5000.0,4.0,300.0
274,9th Phase JP Nagar,2,1050.0,2.0,35.0
275,9th Phase JP Nagar,2,1331.95,2.0,69.0
276,AECS Layout,2,1100.0,2.0,45.0
277,AECS Layout,2,1028.0,2.0,42.0
278,AECS Layout,2,1199.0,2.0,65.0
279,AECS Layout,2,1080.0,2.0,55.0
280,AECS Layout,2,1123.0,2.0,64.0
281,AECS Layout,2,1308.0,2.0,60.0
282,AECS Layout,2,1005.0,2.0,55.0
284,Abbigere,2,985.0,2.0,40.39
285,Abbigere,6,2200.0,6.0,68.0
286,Abbigere,1,765.0,2.0,30.0
287,Abbigere,2,880.0,2.0,35.0
288,Abbigere,2,795.0,2.0,32.54
289,Abbigere,2,1005.0,2.0,39.59
290,Abbigere,1,734.0,1.0,19.82
292,Abbigere,2,1020.0,2.0,41.82
293,Abbigere,2,985.0,2.0,40.39
294,Abbigere,6,2500.0,6.0,81.0
295,Abbigere,2,795.0,2.0,32.54
296,Abbigere,2,1130.0,2.0,46.33
297,Abbigere,2,795.0,1.0,32.6
298,Abbigere,8,3000.0,8.0,150.0
299,Abbigere,2,985.0,2.0,38.92
300,Abbigere,2,1000.0,2.0,41.0
301,Abbigere,2,995.0,2.0,40.8
302,Abbigere,2,1020.0,2.0,40.8
303,Akshaya Nagar,2,1388.0,2.0,57.0
304,Akshaya Nagar,2,1070.0,2.0,54.0
305,Akshaya Nagar,2,1280.0,2.0,58.0
306,Akshaya Nagar,3,1662.0,3.0,85.1
307,Akshaya Nagar,3,1897.0,3.0,120.0
308,Akshaya Nagar,3,1410.0,2.0,75.0
309,Akshaya Nagar,3,1360.0,2.0,85.0
311,Akshaya Nagar,3,1410.0,2.0,80.0
312,Akshaya Nagar,3,1662.0,3.0,85.0
313,Akshaya Nagar,3,1662.0,3.0,85.5
314,Akshaya Nagar,2,1280.0,2.0,60.0
315,Akshaya Nagar,3,1666.0,3.0,95.0
316,Akshaya Nagar,3,1575.0,3.0,90.0
317,Akshaya Nagar,3,1430.0,2.0,75.0
318,Akshaya Nagar,3,1419.0,2.0,73.0
319,Akshaya Nagar,2,1280.0,2.0,60.0
320,Akshaya Nagar,2,1200.0,2.0,50.0
321,Akshaya Nagar,2,1092.0,2.0,60.0
322,Akshaya Nagar,3,1690.0,3.0,85.0
324,Akshaya Nagar,3,1897.0,4.0,93.0
325,Akshaya Nagar,3,1884.0,3.0,98.0
326,Akshaya Nagar,2,1314.0,2.0,68.8
327,Akshaya Nagar,3,1690.0,3.0,85.0
328,Akshaya Nagar,2,1265.0,2.0,67.0
329,Akshaya Nagar,2,1126.0,2.0,55.0
331,Akshaya Nagar,3,1662.0,3.0,90.0
332,Akshaya Nagar,3,1420.0,2.0,75.0
333,Akshaya Nagar,3,1412.0,2.0,88.0
334,Akshaya Nagar,3,1434.0,3.0,84.0
335,Akshaya Nagar,3,1890.0,4.0,100.0
337,Akshaya Nagar,3,1419.0,2.0,87.0
338,Akshaya Nagar,2,1300.0,2.0,54.0
339,Akshaya Nagar,3,1690.0,3.0,85.0
340,Akshaya Nagar,2,1113.0,2.0,52.0
341,Akshaya Nagar,3,1820.0,4.0,95.0
342,Akshaya Nagar,2,1100.0,2.0,48.0
343,Akshaya Nagar,3,1896.0,3.0,102.0
344,Akshaya Nagar,2,1300.0,2.0,66.0
345,Akshaya Nagar,2,1225.0,2.0,68.0
346,Akshaya Nagar,2,1179.0,2.0,51.0
347,Akshaya Nagar,3,1421.0,2.0,73.0
348,Akshaya Nagar,3,1893.0,4.0,95.0
349,Akshaya Nagar,2,900.0,2.0,45.0
350,Ambalipura,2,1105.0,2.0,75.0
351,Ambalipura,3,1800.0,3.0,110.0
352,Ambalipura,2,1150.0,2.0,80.0
353,Ambalipura,2,1250.0,2.0,66.25
354,Ambalipura,2,1332.0,2.0,79.0
355,Ambalipura,3,1730.0,3.0,120.0
357,Ambalipura,2,1230.0,2.0,66.25
358,Ambalipura,2,1351.0,2.0,77.0
362,Ambalipura,2,1303.0,2.0,80.0
363,Ambalipura,3,1607.0,2.0,112.0
364,Ambalipura,1,770.0,1.0,43.82
365,Ambalipura,2,1700.0,2.0,76.0
366,Ambalipura,2,1060.0,2.0,58.5
367,Ambalipura,3,1650.0,3.0,100.0
368,Ambalipura,3,1607.0,2.0,112.0
369,Ambalipura,2,1198.0,2.0,80.0
370,Ambedkar Nagar,3,1935.0,4.0,130.0
371,Ambedkar Nagar,2,1424.0,2.0,90.0
372,Ambedkar Nagar,3,2225.0,4.0,169.0
373,Ambedkar Nagar,3,1862.0,3.0,120.0
374,Ambedkar Nagar,3,1850.0,4.0,139.0
375,Ambedkar Nagar,3,1936.0,4.0,126.0
376,Ambedkar Nagar,3,1862.0,3.0,119.0
377,Ambedkar Nagar,2,1424.0,2.0,90.0
378,Ambedkar Nagar,3,2150.0,4.0,125.0
379,Ambedkar Nagar,4,3530.0,4.0,290.0
380,Ambedkar Nagar,3,1856.0,3.0,120.0
381,Ambedkar Nagar,3,1852.0,3.0,130.0
382,Ambedkar Nagar,3,1850.0,4.0,120.0
383,Ambedkar Nagar,2,1367.0,2.0,86.0
384,Ambedkar Nagar,4,3565.0,4.0,255.0
385,Ambedkar Nagar,2,1409.0,2.0,95.0
386,Ambedkar Nagar,3,1950.0,4.0,120.0
387,Ambedkar Nagar,3,1921.0,4.0,129.0
388,Ambedkar Nagar,3,1920.0,4.0,121.0
389,Ambedkar Nagar,3,1935.0,4.0,125.0
390,Ambedkar Nagar,3,1852.0,4.0,122.0
391,Ambedkar Nagar,3,1950.0,4.0,120.0
392,Ambedkar Nagar,3,1852.0,3.0,125.0
393,Ambedkar Nagar,3,1850.0,4.0,121.0
394,Ambedkar Nagar,2,1425.0,2.0,94.0
395,Ambedkar Nagar,3,2395.0,4.0,150.0
396,Amruthahalli,2,900.0,2.0,40.0
397,Amruthahalli,2,1200.0,2.0,55.0
398,Amruthahalli,3,1900.0,3.0,135.0
399,Amruthahalli,2,924.0,2.0,45.0
400,Amruthahalli,2,900.0,2.0,60.0
401,Amruthahalli,2,1100.0,2.0,45.0
402,Amruthahalli,2,1200.0,2.0,55.0
406,Amruthahalli,3,1450.0,2.0,85.0
407,Amruthahalli,2,1200.0,2.0,55.0
408,Amruthahalli,2,1250.0,2.0,79.0
409,Amruthahalli,2,1190.0,2.0,50.0
410,Amruthahalli,2,1202.0,2.0,65.0
411,Amruthahalli,2,1340.0,2.0,75.0
412,Amruthahalli,3,2650.0,4.0,175.0
413,Amruthahalli,3,1450.0,2.0,90.0
414,Amruthahalli,2,1025.0,2.0,42.0
415,Amruthahalli,1,485.0,1.0,19.5
416,Anandapura,2,1167.0,2.0,43.76
417,Anandapura,2,1000.0,2.0,55.0
418,Anandapura,2,1141.0,2.0,42.79
420,Anandapura,2,1200.0,2.0,67.0
421,Anandapura,2,1200.0,2.0,58.0
422,Anandapura,2,1151.0,2.0,43.1
423,Anandapura,2,1141.0,2.0,42.75
424,Anandapura,2,900.0,2.0,48.0
425,Anandapura,4,1749.0,4.0,90.0
426,Anandapura,2,1151.0,2.0,42.9
428,Anandapura,2,1250.0,2.0,45.0
429,Anandapura,2,1151.0,2.0,43.16
430,Anandapura,2,1200.0,2.0,58.0
431,Anandapura,3,1200.0,2.0,66.0
432,Anandapura,3,1415.0,2.0,74.0
433,Anandapura,2,1200.0,2.0,50.0
434,Anandapura,2,1141.0,2.0,50.0
436,Ananth Nagar,1,500.0,1.0,14.0
437,Ananth Nagar,2,1100.0,2.0,31.5
438,Ananth Nagar,2,982.0,2.0,24.55
439,Ananth Nagar,1,500.0,2.0,14.0
440,Ananth Nagar,2,900.0,2.0,22.5
441,Ananth Nagar,2,908.0,2.0,26.0
442,Ananth Nagar,2,870.0,2.0,36.0
443,Ananth Nagar,2,937.0,2.0,35.0
444,Ananth Nagar,2,960.0,2.0,37.0
445,Ananth Nagar,1,500.0,1.0,14.0
446,Ananth Nagar,2,1000.0,2.0,29.7
447,Ananth Nagar,2,850.0,2.0,25.99
448,Ananth Nagar,2,902.0,2.0,25.26
449,Ananth Nagar,3,1470.0,3.0,54.0
450,Ananth Nagar,2,810.0,2.0,25.5
451,Ananth Nagar,2,890.0,2.0,27.0
452,Ananth Nagar,2,1200.0,2.0,36.0
454,Ananth Nagar,3,1319.0,3.0,42.0
455,Ananth Nagar,2,1000.0,2.0,25.0
456,Ananth Nagar,2,902.0,2.0,25.0
457,Ananth Nagar,2,930.0,2.0,25.99
458,Ananth Nagar,2,1074.0,2.0,26.85
459,Ananth Nagar,1,500.0,1.0,14.0
460,Ananth Nagar,2,1010.0,2.0,38.0
461,Ananth Nagar,2,992.0,2.0,24.8
463,Anekal,2,656.0,2.0,22.0
464,Anekal,2,620.0,2.0,22.0
465,Anekal,1,600.0,1.0,16.5
466,Anekal,2,925.0,2.0,40.0
467,Anekal,1,530.0,1.0,18.0
470,Anekal,1,351.0,1.0,16.0
471,Anekal,2,1035.0,2.0,38.3
472,Anekal,2,888.0,2.0,34.0
476,Anekal,4,1200.0,2.0,36.0
477,Anekal,2,766.0,2.0,28.0
478,Anekal,3,967.0,2.0,45.0
479,Anekal,2,620.0,1.0,23.5
483,Anekal,1,400.0,1.0,11.5
484,Anekal,1,456.0,1.0,15.0
487,Anekal,3,2400.0,4.0,95.0
491,Anekal,1,420.0,1.0,12.5
492,Anekal,2,614.0,1.0,28.0
493,Anekal,2,1140.0,2.0,52.0
494,Anekal,2,625.0,1.0,25.0
495,Anjanapura,4,1850.0,4.0,86.0
496,Anjanapura,2,1070.0,2.0,39.0
497,Anjanapura,3,1500.0,3.0,121.0
498,Anjanapura,2,1070.0,2.0,37.0
499,Anjanapura,2,950.0,2.0,40.0
500,Anjanapura,3,1280.0,2.0,45.0
501,Anjanapura,2,710.0,2.0,25.0
503,Anjanapura,2,950.0,2.0,32.0
504,Anjanapura,4,1800.0,4.0,55.0
505,Anjanapura,3,1843.0,3.0,87.54
506,Anjanapura,2,1076.0,2.0,30.13
507,Anjanapura,2,950.0,2.0,30.0
508,Ardendale,3,1750.0,3.0,100.0
509,Ardendale,4,3198.0,4.0,200.0
510,Ardendale,4,2422.0,4.0,160.0
511,Ardendale,3,1750.0,3.0,100.0
512,Ardendale,4,3200.0,4.0,205.0
513,Ardendale,3,1728.0,3.0,95.0
514,Ardendale,4,2062.0,3.0,140.0
515,Ardendale,3,1732.46,3.0,92.0
516,Ardendale,4,2062.0,3.0,150.0
518,Ardendale,2,1224.0,2.0,70.0
519,Ardendale,3,1777.26,3.0,105.0
520,Ardendale,3,1650.0,3.0,82.0
521,Ardendale,4,2062.0,3.0,140.0
522,Ardendale,3,1650.0,3.0,82.0
523,Ardendale,2,1224.0,2.0,67.0
524,Ardendale,3,1723.0,3.0,95.0
525,Ardendale,3,1777.26,3.0,89.0
526,Ardendale,3,1777.26,3.0,92.0
527,Arekere,3,2060.0,3.0,140.0
528,Arekere,2,920.0,2.0,40.0
529,Arekere,3,1740.0,2.0,95.0
530,Arekere,2,1190.0,2.0,55.0
531,Arekere,1,600.0,1.0,28.0
532,Arekere,3,2072.0,3.0,108.0
533,Arekere,2,1100.0,2.0,55.0
534,Arekere,2,900.0,2.0,50.0
535,Arekere,4,2710.0,6.0,142.0
536,Arekere,2,1240.0,2.0,60.0
537,Arekere,2,900.0,2.0,44.5
538,Attibele,1,450.0,1.0,11.0
539,Attibele,4,1600.0,4.0,52.8
540,Attibele,2,656.0,2.0,25.0
541,Attibele,1,400.0,1.0,11.0
542,Attibele,1,400.0,1.0,12.0
543,Attibele,1,400.0,1.0,14.0
544,Attibele,1,500.0,1.0,17.0
545,Attibele,4,2168.0,4.0,95.0
546,Attibele,1,395.0,1.0,10.25
547,Attibele,1,420.0,1.0,17.0
549,Attibele,1,418.0,1.0,12.0
550,Attibele,2,1200.0,2.0,42.0
551,Attibele,1,400.0,1.0,10.0
552,Attibele,2,695.0,1.0,25.0
553,Attibele,2,850.0,1.0,25.0
554,Attibele,3,2400.0,3.0,120.0
555,Attibele,1,450.0,1.0,12.5
559,Attibele,1,782.0,1.0,19.55
561,Attibele,2,656.0,2.0,25.0
562,Attibele,1,400.0,1.0,11.5
563,Attibele,1,460.0,1.0,13.0
564,Attibele,1,418.0,2.0,11.5
565,Attibele,2,1000.0,2.0,42.0
566,Attibele,1,550.0,1.0,11.5
568,Attibele,1,410.0,1.0,10.0
569,Attibele,3,1700.0,3.0,65.0
570,Attibele,1,400.0,1.0,10.25
571,Attibele,2,656.0,2.0,25.0
572,Attibele,3,1500.0,3.0,90.0
573,Attibele,1,520.0,1.0,15.0
574,BEML Layout,2,1060.0,2.0,55.0
576,BEML Layout,2,999.0,2.0,45.0
577,BEML Layout,5,2400.0,4.0,225.0
579,BEML Layout,2,1194.0,2.0,65.0
580,BEML Layout,2,1200.0,2.0,67.0
581,BEML Layout,2,2400.0,2.0,228.0
584,BEML Layout,2,1194.0,2.0,65.0
585,BTM 1st Stage,9,3300.0,14.0,500.0
586,BTM 1st Stage,1,375.0,1.0,40.0
587,BTM 1st Stage,3,1717.0,3.0,200.0
588,BTM 2nd Stage,3,1260.0,5.0,185.0
589,BTM 2nd Stage,2,950.0,2.0,52.0
590,BTM 2nd Stage,3,1850.0,3.0,170.0
591,BTM 2nd Stage,2,1200.0,2.0,80.0
592,BTM 2nd Stage,2,1274.0,2.0,70.0
594,BTM 2nd Stage,2,1070.0,2.0,48.0
595,BTM 2nd Stage,2,1280.0,2.0,80.0
596,BTM 2nd Stage,2,1100.0,2.0,70.0
597,BTM 2nd Stage,2,1000.0,2.0,58.0
598,BTM 2nd Stage,5,2990.0,5.0,416.0
599,BTM 2nd Stage,2,1265.0,2.0,55.0
600,BTM 2nd Stage,3,2200.0,3.0,220.0
601,BTM 2nd Stage,3,2780.0,4.0,325.0
602,BTM 2nd Stage,3,2400.0,2.0,360.0
603,BTM 2nd Stage,2,965.0,2.0,56.0
604,BTM 2nd Stage,2,1147.0,2.0,75.0
605,BTM 2nd Stage,3,1750.0,3.0,172.0
606,BTM 2nd Stage,2,1400.0,2.0,90.0
607,BTM 2nd Stage,2,1200.0,2.0,70.0
608,BTM 2nd Stage,2,1100.0,2.0,47.0
609,BTM 2nd Stage,2,930.0,2.0,46.0
611,BTM 2nd Stage,3,2500.0,3.0,345.0
612,BTM Layout,2,1150.0,2.0,63.0
613,BTM Layout,6,3300.0,6.0,165.0
614,BTM Layout,3,1450.0,2.0,81.0
